source,target,translation
"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
","« Nous avons à présent des souris de 4 mois qui ne sont pas diabétiques alors qu'elles l'étaient auparavant », a-t-il ajouté.
","""Ora abbiamo topi di 4 mesi che non sono diabetici che un tempo erano diabetici,"" ha aggiunto."
"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
","Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie de Halifax (Nouvelle-Écosse) et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche en était encore à ses débuts.
","Dr. Ehud Ur, professore di medicina presso l'Università Dalhousie di Halifax, Nova Scotia e presidente della divisione clinica e scientifica della Canadian Diabetes Association ha avvertito che la ricerca è ancora nei suoi primi giorni."
"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
","À l'instar d'autres experts, il se montre sceptique quant à la possibilité de guérir le diabète, faisant remarquer que ces résultats ne sont pas applicables aux personnes qui souffrent déjà de diabète de type 1.
","Come alcuni altri esperti, egli è scettico circa se il diabete può essere curato, notando che questi risultati non hanno alcuna rilevanza per le persone che hanno già il diabete di tipo 1."
"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
","Lundi, lors d'une émission de radio sur Sveriges Radio, en Suède, Sara Danius, secrétaire permanente du Comité Nobel de Littérature de l'Académie Suédoise, a annoncé publiquement que le comité, incapable de joindre directement Bob Dylan au sujet du prix Nobel de littérature 2016, avait renoncé à le contacter.
","Lunedì, Sara Danius, segretario permanente del Comitato Nobel per la Letteratura presso l'Accademia svedese, ha annunciato pubblicamente durante un programma radiofonico su Sveriges Radio in Svezia che il comitato, incapace di raggiungere Bob Dylan direttamente per aver vinto il Premio Nobel per la Letteratura 2016, aveva abbandonato i suoi sforzi per raggiungerlo."
"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
","Danius a déclaré : « En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son plus proche collaborateur et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant. »
","Danius ha detto: ""In questo momento non stiamo facendo nulla. Ho chiamato e inviato e-mail al suo collaboratore più vicino e ha ricevuto risposte molto cordiali. Per ora, questo è certamente sufficiente."""
"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
","Auparavant, le PDG de Ring, Jamie Siminoff, a fait remarquer qu'il a lancé l'entreprise lorsque la sonnette de sa porte d'entrée n'était pas audible depuis son magasin dans son garage.
","In precedenza, l'amministratore delegato di Ring, Jamie Siminoff, ha osservato che la società ha iniziato quando il suo campanello non era udibile dal suo negozio nel suo garage."
"He built a WiFi door bell, he said.
","Il dit avoir conçu une sonnette de porte Wi-Fi.
","Ha costruito una campana Wi-Fi, ha detto."
"Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
","M. Siminoff a déclaré que les ventes ont augmenté après son apparition en 2013 dans un épisode de Shark Tank où le panel de la série a refusé de financer la start-up.
",Siminoff ha detto vendite potenziato dopo la sua apparizione 2013 in un episodio Shark Tank in cui lo show panel ha declinato il finanziamento della startup.
"In late 2017, Siminoff appeared on shopping television channel QVC.
","Fin 2017, Siminoff est apparu sur la chaîne de télé-achat QVC.
","Alla fine del 2017, Siminoff è apparso sul canale televisivo QVC dello shopping."
"Ring also settled a lawsuit with competing security company, the ADT Corporation.
","Ring a également réglé un procès avec une entreprise de sécurité concurrente, l'ADT Corporation.
","Ring ha anche stabilito una causa con la società di sicurezza concorrente, la ADT Corporation."
"While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.
","Même si un vaccin expérimental semble jusqu'ici capable de réduire le taux de mortalité d'Ebola, aucun remède n'a encore été suffisamment efficace pour traiter l'infection existante.
","Mentre un vaccino sperimentale sembra in grado di ridurre la mortalità per Ebola, fino ad ora, nessun farmaco è stato chiaramente dimostrato idoneo al trattamento dell'infezione esistente."
"One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.
","Même si l'administration d'un cocktail d'anticorps, ZMapp, avait d'abord montré des signes prometteurs sur le terrain, des études formelles ont démontré que sa capacité à limiter les décès ne répondait pas aux attentes.
","Un cocktail anticorpo, ZMapp, inizialmente ha mostrato una promessa sul campo, ma studi formali hanno indicato che aveva meno beneficio di quanto cercato per prevenire la morte."
"In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.
","Dans l'essai PALM, le ZMapp a servi de témoin, ce qui signifie que les scientifiques l'ont utilisé comme base de référence et lui ont comparé les trois autres traitements.
","Nello studio PALM, ZMapp fungeva da controllo, il che significava che gli scienziati lo usavano come base di partenza e confrontavano gli altri tre trattamenti."
"USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.
","La Fédération américaine de gymnastique soutient la lettre du Comité olympique des États-Unis et accepte la nécessité absolue de la famille olympique de promouvoir un environnement sûr pour tous nos athlètes.
",La Ginnastica USA sostiene la lettera del Comitato Olimpico degli Stati Uniti e accetta l'assoluta necessità della famiglia olimpica di promuovere un ambiente sicuro per tutti i nostri atleti.
"We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.
","Nous sommes d'accord avec la déclaration de l'USOC (Comité olympique des États-Unis) selon laquelle les intérêts de nos athlètes et de nos clubs, ainsi que de leur sport, pourraient être mieux servis. Cela peut être fait en allant de l'avant et en procédant plutôt à des changements significatifs au sein de notre organisation, qu'à la révocation d'accréditation.
","Siamo d'accordo con l'affermazione dell'USOC che gli interessi dei nostri atleti e club, e il loro sport, possono essere meglio serviti da progressi con cambiamenti significativi all'interno della nostra organizzazione, piuttosto che decertificazione."
"USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes.
","USA Gymnastics soutient une enquête indépendante qui pourrait faire la lumière sur la façon dont l’abus de la proportion décrite si courageusement par les survivants de Larry Nassar a pu passer inaperçu pendant si longtemps et adopte tout changement nécessaire et approprié.
",Stati Uniti Ginnastica sostiene un'indagine indipendente che può brillare luce su come abuso della proporzione descritta così coraggiosamente dai sopravvissuti di Larry Nassar potrebbe essere andato inosservato per così tanto tempo e abbraccia tutti i cambiamenti necessari e appropriati.
"USA Gymnastics and the USOC have the same goal — making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment.
","USA Gymnastics et l'USOC ont le même objectif : rendre la gymnastique, ainsi que d'autres sports, aussi sûrs que possible pour que les athlètes puissent poursuivre leurs rêves dans un environnement sûr, positif et responsabilisant.
","La Ginnastica USA e l'USOC hanno lo stesso obiettivo: rendere lo sport della ginnastica il più sicuro possibile per gli atleti di seguire i loro sogni in un ambiente sicuro, positivo e potente."
"Throughout 1960s, Brzezinski worked for John F. Kennedy as his advisor and then the Lyndon B. Johnson administration.
","Tout au long des années 1960, Brzezinski a travaillé pour John F. Kennedy en tant que conseiller, puis pour l'administration de Lyndon B. Johnson.
","Nel corso degli anni '60, Brzezinski ha lavorato per John F. Kennedy come suo consulente e poi l'amministrazione Lyndon B. Johnson."
