source,target,translation
"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
","""Abbiamo topi di quattro mesi che prima erano diabetici e ora non lo sono più"", ha aggiunto.
","""Ora abbiamo topi di 4 mesi che non sono diabetici che un tempo erano diabetici,"" ha aggiunto."
"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
","Lo studio è ancora in fase iniziale, come dichiarato cautelativamente dal dottor Ehud Ur, professore di medicina alla Dalhousie University di Halifax, Nuova Scozia, e direttore del dipartimento clinico e scientifico della Canadian Diabetes Association.
","Dr. Ehud Ur, professore di medicina presso l'Università Dalhousie di Halifax, Nova Scotia e presidente della divisione clinica e scientifica della Canadian Diabetes Association ha avvertito che la ricerca è ancora nei suoi primi giorni."
"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
","Come altri esperti, è scettico circa la possibilità di curare il diabete, sottolineando che questi risultati non hanno rilevanza per chi è già affetto dal diabete di tipo 1.
","Come alcuni altri esperti, egli è scettico circa se il diabete può essere curato, notando che questi risultati non hanno alcuna rilevanza per le persone che hanno già il diabete di tipo 1."
"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
","La segretaria permanente del Comitato per il Nobel per la letteratura dell'Accademia svedese, Sara Danius, nel corso di un programma radiofonico andato in onda lunedì sulla radio svedese Sveriges Radio, ha annunciato pubblicamente che il Comitato ha rinunciato a contattare Bob Dylan, non riuscendo a raggiungerlo direttamente per comunicargli la vittoria del Nobel per la letteratura 2016.
","Lunedì, Sara Danius, segretario permanente del Comitato Nobel per la Letteratura presso l'Accademia svedese, ha annunciato pubblicamente durante un programma radiofonico su Sveriges Radio in Svezia che il comitato, incapace di raggiungere Bob Dylan direttamente per aver vinto il Premio Nobel per la Letteratura 2016, aveva abbandonato i suoi sforzi per raggiungerlo."
"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
","Danius ha dischiarato: ""Ora come ora non stiamo facendo niente. Ho telefonato e inviato e-mail al suo più stretto collaboratore, che mi ha risposto in modo molto gentile. Per il momento, basta e avanza"".
","Danius ha detto: ""In questo momento non stiamo facendo nulla. Ho chiamato e inviato e-mail al suo collaboratore più vicino e ha ricevuto risposte molto cordiali. Per ora, questo è certamente sufficiente."""
"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
","In precedenza, Jamie Siminoff, amministratore delegato di Ring, ha sottolineato che la società era nata quando ancora non poteva sentire il campanello dal suo negozio in garage.
","In precedenza, l'amministratore delegato di Ring, Jamie Siminoff, ha osservato che la società ha iniziato quando il suo campanello non era udibile dal suo negozio nel suo garage."
"He built a WiFi door bell, he said.
","Ha detto di aver costruito un campanello Wi-Fi.
","Ha costruito una campana Wi-Fi, ha detto."
"Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
","Siminoff ha dichiarato che le vendite sono incrementate dopo la sua comparsa nel 2013 in un episodio di Shark Tank, in cui la giuria del programma si è rifiutata di finanziare la startup.
",Siminoff ha detto vendite potenziato dopo la sua apparizione 2013 in un episodio Shark Tank in cui lo show panel ha declinato il finanziamento della startup.
"In late 2017, Siminoff appeared on shopping television channel QVC.
","Siminoff è comparso sull'emittente televisiva commerciale QVC alla fine del 2017.
","Alla fine del 2017, Siminoff è apparso sul canale televisivo QVC dello shopping."
"Ring also settled a lawsuit with competing security company, the ADT Corporation.
","Ring ha inoltre raggiunto un accordo transattivo con la società concorrente di servizi di sicurezza, la ADT Corporation.
","Ring ha anche stabilito una causa con la società di sicurezza concorrente, la ADT Corporation."
"While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.
","Se da un lato sembra che ci sia un vaccino sperimentale in grado di ridurre la mortalità da Ebola, dall'altro non è stato trovato ancora nessun farmaco che si sia chiaramente dimostrato adatto al trattamento dell'infezione esistente.
","Mentre un vaccino sperimentale sembra in grado di ridurre la mortalità per Ebola, fino ad ora, nessun farmaco è stato chiaramente dimostrato idoneo al trattamento dell'infezione esistente."
"One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.
","Un cocktail di anticorpi, ZMapp, si è inizialmente mostrato promettente sul campo, ma studi formali hanno rivelato un'efficacia inferiore rispetto a quella sperata nella prevenzione dei decessi.
","Un cocktail anticorpo, ZMapp, inizialmente ha mostrato una promessa sul campo, ma studi formali hanno indicato che aveva meno beneficio di quanto cercato per prevenire la morte."
"In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.
","Nello studio PALM, ZMapp è stato usato come mezzo di controllo, ovvero gli scienziati lo hanno impiegato come riferimento e messo a confronto con le altre tre terapie.
","Nello studio PALM, ZMapp fungeva da controllo, il che significava che gli scienziati lo usavano come base di partenza e confrontavano gli altri tre trattamenti."
"USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.
","La USA Gymnastics appoggia la lettera del Comitato Olimpico degli Stati Uniti e riconosce l'assoluta necessità da parte della comunità olimpica di adoperarsi per creare un ambiente sicuro per tutti i suoi atleti.
",La Ginnastica USA sostiene la lettera del Comitato Olimpico degli Stati Uniti e accetta l'assoluta necessità della famiglia olimpica di promuovere un ambiente sicuro per tutti i nostri atleti.
"We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.
","Concordiamo con quanto affermato dall'USOC, ovvero che gli interessi dei nostri atleti e dei nostri club, e del loro sport, possono essere meglio serviti portando avanti un cambiamento significativo all'interno della nostra organizzazione, e non con la decertificazione.
","Siamo d'accordo con l'affermazione dell'USOC che gli interessi dei nostri atleti e club, e il loro sport, possono essere meglio serviti da progressi con cambiamenti significativi all'interno della nostra organizzazione, piuttosto che decertificazione."
"USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes.
","La USA Gymnastics ha promosso un'indagine indipendente per capire come sia stato possibile che un abuso delle dimensioni descritte con tanto coraggio da chi è riuscito a sopravvivere a Larry Nassar sia rimasto nascosto per così tanto tempo, ed è disposta ad implementare qualunque cambiamento necessario o adeguato.
",Stati Uniti Ginnastica sostiene un'indagine indipendente che può brillare luce su come abuso della proporzione descritta così coraggiosamente dai sopravvissuti di Larry Nassar potrebbe essere andato inosservato per così tanto tempo e abbraccia tutti i cambiamenti necessari e appropriati.
"USA Gymnastics and the USOC have the same goal — making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment.
","USA Gymnastics e USOC hanno il medesimo obiettivo: rendere la ginnastica e gli altri sport il più sicuri possibile, affinché gli atleti possano inseguire i loro sogni in un ambiente affidabile, positivo e responsabilizzato.
","La Ginnastica USA e l'USOC hanno lo stesso obiettivo: rendere lo sport della ginnastica il più sicuro possibile per gli atleti di seguire i loro sogni in un ambiente sicuro, positivo e potente."
"Throughout 1960s, Brzezinski worked for John F. Kennedy as his advisor and then the Lyndon B. Johnson administration.
","Nel corso degli anni '60, Brzezinski fu il consigliere di John F. Kennedy e successivamente dell'amministrazione Lyndon B. Johnson.
","Nel corso degli anni '60, Brzezinski ha lavorato per John F. Kennedy come suo consulente e poi l'amministrazione Lyndon B. Johnson."
"During the 1976 selections he advised Carter on foreign policy, then served as National Security Advisor (NSA) from 1977 to 1981, succeeding Henry Kissinger.
","Nel corso delle elezioni del 1976, consigliò Carter in materia di politica estera per poi ricoprire il ruolo di Consigliere per la sicurezza nazionale (NSA) dal 1977 al 1981, subentrando a Henry Kissinger.
","Durante le selezioni del 1976 consigliò Carter sulla politica estera, poi servì come National Security Advisor (NSA) dal 1977 al 1981, succedendo a Henry Kissinger."
"As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979.
","In qualità di membro dell'NSA, ha collaborato con Carter alla gestione diplomatica degli affari internazionali, tra cui gli Accordi di Camp David del 1978, la normalizzazione dei rapporti tra Cina e Stati Uniti alla fine degli anni '70, la rivoluzione iraniana (che ha portato alla crisi degli ostaggi in Iran nel 1979) e l'invasione sovietica dell'Afghanistan nel 1979.
","Come NSA, ha assistito Carter nella gestione diplomatica degli affari mondiali, come gli Accordi di Camp David, 1978; la normalizzazione delle relazioni USA-Cina ha pensato alla fine degli anni '70; la rivoluzione iraniana, che ha portato alla crisi degli ostaggi in Iran, 1979; e l'invasione sovietica in Afghanistan, 1979."
