source,target,translation
"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
","« Nous avons à présent des souris de 4 mois qui ne sont pas diabétiques alors qu'elles l'étaient auparavant », a-t-il ajouté.
","« Nous avons maintenant des souris de 4 mois qui ne sont pas diabétiques et qui étaient autrefois diabétiques », a-t-il ajouté."
"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
","Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie de Halifax (Nouvelle-Écosse) et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche en était encore à ses débuts.
","Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie à Halifax (Nouvelle-Écosse) et président de la division clinique et scientifique de l'Association canadienne du diabète, a mis en garde que la recherche en est encore à ses débuts."
"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
","À l'instar d'autres experts, il se montre sceptique quant à la possibilité de guérir le diabète, faisant remarquer que ces résultats ne sont pas applicables aux personnes qui souffrent déjà de diabète de type 1.
","Comme d'autres experts, il est sceptique quant à la guérison du diabète, faisant remarquer que ces résultats ne sont pas pertinents pour les personnes qui ont déjà le diabète de type 1."
"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
","Lundi, lors d'une émission de radio sur Sveriges Radio, en Suède, Sara Danius, secrétaire permanente du Comité Nobel de Littérature de l'Académie Suédoise, a annoncé publiquement que le comité, incapable de joindre directement Bob Dylan au sujet du prix Nobel de littérature 2016, avait renoncé à le contacter.
","Lundi, Sara Danius, secrétaire permanente du Comité Nobel pour la littérature à l'Académie suédoise, a annoncé publiquement, lors d'une émission radiophonique de Sveriges Radio en Suède, que le Comité, incapable de rejoindre directement Bob Dylan au sujet de la remise du prix Nobel de littérature de 2016, avait abandonné ses efforts pour le rejoindre."
"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
","Danius a déclaré : « En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son plus proche collaborateur et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant. »
","« Pour l'instant, nous ne faisons rien. J'ai appelé et envoyé des courriels à son plus proche collaborateur et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant."
"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
","Auparavant, le PDG de Ring, Jamie Siminoff, a fait remarquer qu'il a lancé l'entreprise lorsque la sonnette de sa porte d'entrée n'était pas audible depuis son magasin dans son garage.
","Auparavant, le chef de la direction de Ring, Jamie Siminoff, a fait remarquer que l'entreprise avait démarré lorsque sa sonnerie n'était pas audible depuis son atelier dans son garage."
"He built a WiFi door bell, he said.
","Il dit avoir conçu une sonnette de porte Wi-Fi.
","Il a construit une sonnerie de porte WiFi, a-t-il déclaré."
"Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
","M. Siminoff a déclaré que les ventes ont augmenté après son apparition en 2013 dans un épisode de Shark Tank où le panel de la série a refusé de financer la start-up.
",Siminoff a déclaré que les ventes ont augmenté après son apparition en 2013 dans un épisode de Shark Tank où le panel de l'émission a refusé de financer le démarrage.
"In late 2017, Siminoff appeared on shopping television channel QVC.
","Fin 2017, Siminoff est apparu sur la chaîne de télé-achat QVC.
"," la fin de 2017, Siminoff est apparu sur la chaîne de télévision commerçante QVC."
"Ring also settled a lawsuit with competing security company, the ADT Corporation.
","Ring a également réglé un procès avec une entreprise de sécurité concurrente, l'ADT Corporation.
","Ring a également réglé un litige avec une société de sécurité concurrente, l'ADT Corporation."
